text,canonical_form_1,canonical_form_2,canonical_form_3,category_1,severity_rating,severity_description
butt fucker,fuck,butt,,sexual,3.0,Severe
butt hole,butt,,,sexual,1.0,Mild
butt pirate,butt,,,sexual orientation / sexual,2.2,Strong
butt-fucker,fuck,butt,,sexual,2.2,Strong
butt-fuckers,fuck,butt,,sexual,2.8,Severe
butt-fucking-bandit,fuck,butt,,sexual,2.6,Severe
butt-munchers,butt,,,sexual,2.0,Strong
buttermilk,buttermilk,,,racial / ethnic slurs,1.4,Mild
buttfuck,fuck,butt,,sexual,2.2,Strong
buttfucker,fuck,butt,,sexual,3.0,Severe
buttfuckers,fuck,butt,,sexual,3.0,Severe
butthole,butt,,,sexual,1.2,Mild
butthole boy,butt,,,sexual,2.6,Severe
bwc,cock,,,sexual,1.4,Mild
c*nt,cunt,,,sexual,3.0,Severe
c*ntface,cunt,,,sexual,3.0,Severe
c*nts,cunt,,,sexual orientation / sexual,2.8,Severe
c*nty,cunt,,,sexual,2.8,Severe
c00n,coon,,,racial / ethnic slurs,2.8,Severe
c00nies,coon,,,racial / ethnic slurs,2.6,Severe
c0ck,cock,,,sexual,1.2,Mild
c0ckhead,cock,,,sexual,2.0,Strong
c0cks,cock,,,sexual,1.6,Strong
c0cksuccer,cock,,,sexual,2.0,Strong
c0cksucked,cock,,,sexual,2.0,Strong
c0cksucker,cock,,,sexual,2.2,Strong
c0cksuckers,cock,,,sexual,2.2,Strong
c0x,cock,,,sexual,1.4,Mild
c0xux0r,cock,,,sexual,1.8,Strong
caaak,cock,,,sexual,1.4,Mild
caca,shit,,,violence / violence,1.0,Mild
cack,cock,,,violence / violence,1.2,Mild
cagone,cojones,,,violence / violence,1.2,Mild
cajones,cojones,,,sexual,1.0,Mild
Camel jockey,camel jockey,,,racial / ethnic slurs,2.8,Severe
cameltoe,cameltoe,,,sexual,1.2,Mild
carpet muncher,carpet muncher,,,sexual,2.4,Strong
carpetmuncher,carpet muncher,,,sexual,2.6,Severe
carpetmunchers,carpet muncher,,,sexual orientation / sexual,2.2,Strong
carpetmunching,carpet muncher,,,sexual,1.6,Strong
cawk,cock,,,sexual,1.4,Mild
cawk muncher,cock,,,sexual,2.4,Strong
cawkmuncher,cock,,,sexual,2.2,Strong
cawks,cock,,,sexual,1.2,Mild
cawksucker,cock,,,sexual,2.6,Severe
ch1nk,chink,,,racial / ethnic slurs,3.0,Severe
chesticles,testicles,,,sexual,1.0,Mild
china-virus,china virus,,,political,2.2,Strong
chinavirus,china virus,,,political,2.6,Severe
chinese-virus,china virus,,,political,2.8,Severe
chingchong,chingchong,,,racial / ethnic slurs,2.8,Severe
chink,chink,,,racial / ethnic slurs,3.0,Severe
chinky,chink,,,racial / ethnic slurs,3.0,Severe
choad nectar,choad,,,violence / violence,2.0,Strong
chocha,chocha,,,sexual,2.4,Strong
choke the chicken,choke the chicken,,,sexual,1.4,Mild
cholo,cholo,,,racial / ethnic slurs,1.6,Strong
clitlickers,clit,,,sexual,2.0,Strong
closet fuckhead,fuck,,,sexual orientation / sexual,2.8,Severe
clusterfuck,fuck,,,sexual,1.8,Strong
clusterfucked,fuck,,,sexual,2.2,Strong
clusterfucker,fuck,,,sexual,2.4,Strong
clusterfucking,fuck,,,sexual,2.0,Strong
clusterfucks,fuck,,,sexual,2.0,Strong
cobb knobbler,knob,,,sexual,1.8,Strong
cock,cock,,,sexual,1.4,Mild
cock droplets,cock,,,violence / violence,2.4,Strong
cock head,cock,,,sexual,2.0,Strong
cock jockey,cock,,,sexual,2.4,Strong
cock knocker,cock,,,sexual,1.8,Strong
cock licker,cock,,,sexual,2.0,Strong
cock munch,cock,,,sexual,2.0,Strong
cock rider,cock,,,sexual,2.4,Strong
cock smoker,cock,,,sexual,2.2,Strong
cock snot,cock,,,sexual,2.2,Strong
cock suck,cock,,,sexual,1.8,Strong
cock sucker,cock,,,sexual,2.4,Strong
cock sucking,cock,,,sexual,2.2,Strong
cock sucking boiolas,cock,,,sexual,2.6,Severe
cock sucking nob jokeys,cock,knob,,sexual,2.8,Severe
cock tease,cock,,,sexual,1.8,Strong
cock-face,cock,,,sexual,2.2,Strong
cock-gobbler,cock,,,sexual,2.4,Strong
cock-head,cock,,,sexual,1.8,Strong
cock-sucker,cock,,,sexual,2.0,Strong
cock-suckers,cock,,,sexual,2.0,Strong
cockboy,cock,,,sexual,2.4,Strong
cockeater,cock,,,sexual,2.2,Strong
cockface,cock,,,sexual,2.0,Strong
cockgobbler,cock,,,sexual,1.8,Strong
cockh3ad,cock,,,sexual,2.4,Strong
cockhead,cock,,,sexual,1.8,Strong
cockheads,cock,,,sexual,2.4,Strong
cockhed,cock,,,sexual,2.0,Strong
cockless,cock,,,sexual,1.4,Mild
cocklicker,cock,,,sexual,2.2,Strong
cockmonger,cock,,,sexual,2.2,Strong
cockmunch,cock,,,sexual,2.2,Strong
cockmuncher,cock,,,sexual,1.8,Strong
cocks,cock,,,sexual,1.6,Strong
cockshit,cock,shit,,sexual,2.2,Strong
cockskin,cock,,,sexual,1.8,Strong
cocksmoker,cock,,,sexual,2.2,Strong
cocksucc,cock,,,sexual,2.0,Strong
cocksuccas,cock,,,sexual,2.2,Strong
cocksuccer,cock,,,sexual,2.2,Strong
cocksuccers,cock,,,sexual,2.2,Strong
cocksuck,cock,,,sexual,2.2,Strong
cocksuckas,cock,,,sexual,2.4,Strong
cocksucked,cock,,,sexual,2.0,Strong
cocksucker,cock,,,sexual,2.2,Strong
cocksuckers,cock,,,sexual,2.2,Strong
cocksucking,cock,,,sexual,2.4,Strong
cocksucking mothafuckers,motherfucker,cock,,sexual,3.0,Severe
cocksucks,cock,,,sexual,2.2,Strong
cocksuk,cock,,,sexual,2.0,Strong
cocksuka,cock,,,sexual,2.0,Strong
cocksukka,cock,,,sexual,2.2,Strong
cocsuck,cock,,,sexual,2.0,Strong
cokmuncher,cock,,,sexual,2.2,Strong
coksucka,cock,,,sexual,1.8,Strong
coolie,coolie,,,racial / ethnic slurs,1.8,Strong
coon,coon,,,racial / ethnic slurs,3.0,Severe
coon1es,coon,,,racial / ethnic slurs,3.0,Severe
cooni3s,coon,,,racial / ethnic slurs,2.4,Strong
coonie,coon,,,racial / ethnic slurs,2.8,Severe
coonies,coon,,,racial / ethnic slurs,3.0,Severe
coons,coon,,,racial / ethnic slurs,2.8,Severe
coot,coot,,,sexual,1.6,Strong
coot coot,coot,,,sexual,1.4,Mild
cooter,coot,,,sexual,1.2,Mild
cooter shooting,coot,,,sexual,2.6,Severe
cooterpuffing,coot,,,sexual,2.4,Strong
cooties,cooties,,,other / general insult,1.0,Mild
cotton picker,cotton picker,,,racial / ethnic slurs,2.8,Severe
crazy mofos,motherfucker,,,sexual,1.4,Mild
crazy sob,bitch,,,bad language,1.4,Mild
creampie,creampie,,,sexual,2.2,Strong
crotch,crotch,,,sexual,1.0,Mild
crotch fiddler,crotch,,,sexual,2.2,Strong
crotchy,crotch,,,sexual,1.4,Mild
crow,crow,,,animal references,1.0,Mild
crows,crow,,,sexual orientation / sexual,1.4,Mild
cuksuker,cock,,,sexual,2.4,Strong
cuksukka,cock,,,sexual,2.2,Strong
cum goon,cum,,,sexual,2.0,Strong
cumball,cum,,,violence / violence,2.4,Strong
cumdumpster,cum,,,violence / violence,2.8,Severe
cumming,cum,,,violence / violence,1.6,Strong
cums,cum,,,violence / violence,1.4,Mild
cumslut,cum,,,violence / violence,2.8,Severe
cumz,cum,,,violence / violence,2.0,Strong
cunnilingus,cunnilingus,,,sexual,2.0,Strong
cunt,cunt,,,sexual,2.6,Severe
cunt ass,cunt,ass,,sexual,2.8,Severe
cunt fart,cunt,fart,,sexual,2.6,Severe
cunt lick,cunt,,,sexual,3.0,Severe
cunt licker,cunt,,,sexual,3.0,Severe
cunt lips,cunt,,,sexual,2.8,Severe
cuntasaurus rex,cunt,,,sexual,2.8,Severe
cuntbag,cunt,,,sexual,3.0,Severe
cuntbollock,cunt,,,sexual,2.2,Strong
cuntelope,cunt,,,sexual,2.4,Strong
cuntits,cunt,tits,,sexual,2.8,Severe
cuntless,cunt,,,sexual,2.8,Severe
cuntlick,cunt,,,sexual,3.0,Severe
cuntlicker,cunt,,,sexual,2.4,Strong
cuntlickers,cunt,,,sexual,2.6,Severe
cuntness,cunt,,,sexual,3.0,Severe
cunts,cunt,,,sexual,2.6,Severe
cunty,cunt,,,sexual,2.8,Severe
cuntz,cunt,,,sexual,2.8,Severe
cuunt,cunt,,,sexual,2.6,Severe
cyberfck,fuck,,,sexual,2.2,Strong
cyberfcks,fuck,,,sexual,2.4,Strong
cyberfuccs,fuck,,,sexual,2.2,Strong
cyberfucks,fuck,,,sexual,2.2,Strong
cyberfucs,fuck,,,sexual,2.0,Strong
cyberfukk,fuck,,,sexual,2.0,Strong
cyberfukks,fuck,,,sexual,2.2,Strong
cyberfvcks,fuck,,,sexual,2.2,Strong
d!ck,dick,,,sexual,1.0,Mild
d!cks,dick,,,sexual,1.0,Mild
d!ld0,dildo,,,sexual,1.4,Mild
d!ldo,dildo,,,sexual,1.4,Mild
d0ggy style,doggy style,,,sexual,1.8,Strong
d1ck,dick,,,sexual,1.0,Mild
d1ckhead,dick,,,sexual,1.8,Strong
d1ckheads,dick,,,sexual,1.8,Strong
d1cks,dick,,,sexual,1.4,Mild
d1cksucker,dick,,,sexual,1.8,Strong
d1cksukka,dick,,,sexual,2.0,Strong
d1ckz,dick,,,sexual,1.0,Mild
d1ldo,dildo,,,sexual,1.4,Mild
dafuq,fuck,,,sexual,2.2,Strong
dago,dago,,,racial / ethnic slurs,2.2,Strong
darkass,ass,,,racial / ethnic slurs,2.6,Severe
darkfuck,fuck,darky,,sexual,2.4,Strong
darkie,darky,,,racial / ethnic slurs,2.8,Severe
darkshit,shit,,,violence / violence,3.0,Severe
darktard,retard,darky,,racial / ethnic slurs,3.0,Severe
darky,darky,,,racial / ethnic slurs,2.8,Severe
dick breath,dick,,,sexual,2.0,Strong
dick face,dick,,,sexual,1.8,Strong
dick fucker,fuck,dick,,sexual,2.8,Severe
dick head,dick,,,sexual,1.8,Strong
dick licker,dick,,,sexual,2.4,Strong
dick milker,dick,,,sexual,2.2,Strong
dick nibbler,dick,,,sexual,2.4,Strong
dick smoker,dick,,,sexual,2.4,Strong
dick sucker,dick,,,sexual,2.2,Strong
dick-face,dick,,,sexual,1.8,Strong
dick-gobbler,dick,,,sexual,1.8,Strong
dick-head,dick,,,sexual,1.8,Strong
dickface,dick,,,sexual,2.0,Strong
dickfucker,dick,fuck,,sexual,2.8,Severe
dickhead,dick,,,sexual,2.0,Strong
dickheads,dick,,,sexual,1.6,Strong
dickjockies,dick,,,sexual,2.2,Strong
dickless,dick,,,sexual,1.4,Mild
dicklicker,dick,,,sexual,2.2,Strong
dickmuncher,dick,,,sexual,2.0,Strong
dicks,dick,,,sexual,1.0,Mild
dickskin,dick,,,sexual,1.8,Strong
dickslapper,dick,,,sexual,1.8,Strong
dicksmoker,dick,,,sexual,2.8,Severe
dicksucker,dick,,,sexual,2.2,Strong
dickvag,dick,,,sexual,1.6,Strong
dickz,dick,,,sexual,1.2,Mild
diddle,diddle,,,sexual,1.0,Mild
dikhead,dick,,,sexual,1.6,Strong
diks,dick,,,sexual,1.2,Mild
dild0,dildo,,,sexual,1.0,Mild
dipsh1t,shit,,,bad language,1.6,Strong
dipsh1tty,shit,,,violence / violence,1.6,Strong
dipshat,shit,,,violence / violence,1.2,Mild
dipshidiot,shit,,,violence / violence,1.6,Strong
dipshit,shit,,,violence / violence,1.4,Mild
dipshite,shit,,,violence / violence,1.6,Strong
dipshits,shit,,,violence / violence,1.6,Strong
dipshitter,shit,,,violence / violence,1.6,Strong
dipshitty,shit,,,violence / violence,1.8,Strong
dipstick,dipstick,,,sexual,1.2,Mild
dirty sanchez,dirty sanchez,,,sexual,2.4,Strong
dix,dick,,,sexual,1.0,Mild
dlck,dick,,,sexual,1.2,Mild
dlcks,dick,,,sexual,1.0,Mild
dog fuck,fuck,,,sexual,2.8,Severe
dog fucker,fuck,,,sexual,3.0,Severe
dog fucking,fuck,,,sexual,2.8,Severe
dog shit,shit,,,violence / violence,1.2,Mild
dog-fucker,fuck,,,sexual,2.8,Severe
dog's bollocks,bollocks,,,sexual,1.2,Mild
doggo style,doggy style,,,sexual,1.2,Mild
doggy style,doggy style,,,sexual,1.4,Mild
doggy_style,doggy style,,,sexual,1.4,Mild
dogie style,doggy style,,,sexual,1.0,Mild
dogsh1t,shit,,,violence / violence,1.2,Mild
dogsh1ts,shit,,,violence / violence,1.0,Mild
dogshit,shit,,,violence / violence,1.0,Mild
dogshits,shit,,,violence / violence,1.4,Mild
dogstyle,doggy style,,,sexual,1.0,Mild
dolt,dolt,,,bad language,1.0,Mild
dong,dong,,,sexual,1.2,Mild
doosh,douche,,,violence / violence,1.4,Mild
dothead,dothead,,,racial / ethnic slurs,2.6,Severe
double dick,dick,,,sexual,1.6,Strong
double dicking,dick,,,sexual,2.2,Strong
double pen,double pen,,,sexual,1.2,Mild
double-dong,dong,,,sexual,1.4,Mild
douche,douche,,,sexual,1.0,Mild
douche bag,douche,,,other / general insult,1.0,Mild
douche canoe,douche,,,sexual,1.4,Mild
douchebag,douche,,,sexual,1.4,Mild
dumasses,ass,,,sexual,1.0,Mild
dumb bastard,bastard,,,other / general insult,1.2,Mild
dumb fucker,fuck,,,sexual,2.0,Strong
dumb@ss,ass,,,sexual,1.2,Mild
dumbarrassed,ass,,,bad language,1.4,Mild
dumbass,ass,,,bad language,1.4,Mild
dumbass fucker,fuck,ass,,sexual,2.6,Severe
dumbass mofoes,ass,motherfucker,,sexual,2.4,Strong
dumbass mothafuckers,motherfucker,ass,,sexual,2.8,Severe
dumbass son-of-a-bitch,bitch,ass,,sexual,1.8,Strong
dumbasses,ass,,,sexual,1.0,Mild
dumbfucks,fuck,,,sexual,2.2,Strong
dumbshit,shit,,,violence / violence,1.6,Strong
dump a load,dump a load,,,violence / violence,1.6,Strong
dune coon,coon,,,racial / ethnic slurs,3.0,Severe
dyke,dyke,,,sexual orientation / sexual,2.8,Severe
erectoplasm,erectoplasm,,,violence / violence,1.8,Strong
f_u_c_k,fuck,,,sexual,2.2,Strong
f'ed,fuck,,,sexual,1.8,Strong
f'er,fuck,,,sexual,1.6,Strong
f@ck,fuck,,,sexual,1.6,Strong
f@cker bunny,fuck,,,sexual,2.2,Strong
f@g,faggot,,,sexual orientation / sexual,2.8,Severe
f@gg0t,faggot,,,sexual orientation / sexual,3.0,Severe
f@gging,faggot,,,sexual orientation / sexual,2.8,Severe
f@ggot,faggot,,,sexual orientation / sexual,3.0,Severe
f@gs,faggot,,,sexual orientation / sexual,3.0,Severe
f@gshit,shit,fag,,sexual orientation / sexual,2.8,Severe
f@k,fuck,,,sexual,1.8,Strong
f0ck,fuck,,,sexual,2.0,Strong
f0cked,fuck,,,sexual,2.0,Strong
f0cker,fuck,,,sexual,2.4,Strong
f0ckers,fuck,,,sexual,2.2,Strong
face fuck,fuck,,,sexual,2.8,Severe
fack,fuck,,,sexual,1.4,Mild
fackuhs,fuck,,,sexual,2.0,Strong
fag,faggot,,,sexual orientation / sexual,2.8,Severe
fag asses,faggot,ass,,sexual orientation / sexual,2.8,Severe
fag bag,faggot,,,sexual orientation / sexual,2.8,Severe
fag hag,faggot,hag,,sexual orientation / sexual,2.6,Severe
fag queen,faggot,,,sexual orientation / sexual,2.8,Severe
fag0t,faggot,,,sexual orientation / sexual,3.0,Severe
faget,faggot,,,sexual orientation / sexual,3.0,Severe
fagg0t,faggot,,,sexual orientation / sexual,3.0,Severe
fagging,faggot,,,sexual orientation / sexual,3.0,Severe
faggo,faggot,,,sexual orientation / sexual,2.8,Severe
faggot,faggot,,,sexual orientation / sexual,2.8,Severe
faggot mofoes,faggot,motherfucker,,sexual,3.0,Severe
faggot mothafuckers,motherfucker,faggot,,sexual,3.0,Severe
faggot nob jokeys,faggot,knob,,sexual,3.0,Severe
faggot nobjockies,faggot,knob,,sexual orientation / sexual,3.0,Severe
faggot son-of-a-bitch,faggot,bitch,,sexual orientation / sexual,3.0,Severe
faggoting,faggot,,,sexual orientation / sexual,3.0,Severe
faggots,faggot,,,sexual orientation / sexual,3.0,Severe
faggs,faggot,,,sexual orientation / sexual,3.0,Severe
faggy,faggot,,,sexual orientation / sexual,3.0,Severe
fagot,faggot,,,sexual orientation / sexual,2.8,Severe
fags,faggot,,,sexual orientation / sexual,3.0,Severe
fagshit,faggot,shit,,violence / violence,3.0,Severe
fart-fucker,fuck,,,sexual,2.2,Strong
fatass,ass,,,sexual,1.2,Mild
fatasses,ass,,,sexual,1.2,Mild
fccuker,fuck,,,sexual,2.0,Strong
fck,fuck,,,sexual,2.4,Strong
fck you,fuck,,,sexual,2.2,Strong
fcka,fuck,,,sexual,1.8,Strong
fckahz,fuck,,,sexual,2.2,Strong
fcked,fuck,,,sexual,2.0,Strong
